ts,pass_after_pre_filters,no_pattern_trigger,confidence_below_threshold,confirm_signal_failed,trend_alignment_block,pair_filter_block,volatility_filter,regime_filter_block,funding_block,economics_not_profitable,risk_reward_block,evaluate_exception
1770814599,2,133,4,1,0,1,13,0,0,0,0,0
1770815531,2,149,0,3,0,0,0,0,0,0,0,0
1770816428,1,150,0,1,0,2,0,0,0,0,0,0
1770820027,0,154,0,0,0,0,0,0,0,0,0,0
1770820927,3,147,0,3,0,1,0,0,0,0,0,0
1770821831,5,142,5,1,0,1,0,0,0,0,0,0
1770822730,2,151,1,0,0,0,0,0,0,0,0,0
1770823634,1,150,3,0,0,0,0,0,0,0,0,0
1770824529,0,150,3,1,0,0,0,0,0,0,0,0
1770825428,0,152,2,0,0,0,0,0,0,0,0,0
1770826331,0,148,0,1,3,0,0,2,0,0,0,0
1770827227,0,147,4,3,0,0,0,0,0,0,0,0
1770828127,4,144,3,0,1,2,0,0,0,0,0,0
1770829028,1,152,1,0,0,0,0,0,0,0,0,0
1770829926,0,153,0,0,0,1,0,0,0,0,0,0
1770830830,0,149,0,3,2,0,0,0,0,0,0,0
1770831728,0,150,1,2,0,1,0,0,0,0,0,0
1770832625,1,151,1,0,0,1,0,0,0,0,0,0
1770833526,4,142,4,1,1,2,0,0,0,0,0,0
